movie_title,pacing_efficiency,originality,family_friendly,plot_quality_rating,plot_quality_reasons_for_liking,plot_quality_reasons_for_disliking,dialogues,end_feeling_emotional_adjective,end_feeling_ending_rating,end_feeling_structural_adjective,immersive,impactful,overall_feeling,visuals,visual_effects,sound_audio_balance_issue,sound_bgm_quality,sound_song_tracks_quality,performance_of_actors,connected,references_contained,cognitive_requirement,technical_knowledge_required,photosensitivity_warnings,animal_harm,trailer_or_spoiler
The Shawshank Redemption,4,4,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,5,5,5,4,4,False,5,5,5,5,1,3,1,1,1,1
The Godfather,4,5,1,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,3,4,4,1,1,4,3
The Dark Knight,5,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,5,True,5,4,5,5,4,4,1,3,1,5
The Godfather: Part II,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,5,5,4,1,1,1,5
12 Angry Men,5,5,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,earned,5,5,5,4,1,False,3,1,5,1,1,4,1,1,1,3
The Lord of the Rings: The Return of the King,4,5,3,5,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,5,False,5,5,4,5,5,3,1,2,3,1
Pulp Fiction,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,neutral,4,satisfying,5,5,5,4,3,False,4,5,5,1,5,3,1,1,1,3
Schindler's List,3,5,1,5,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,1,5,4,1,2,4,2
Inception,5,5,2,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",['plot_holes'],3,energized,5,ambiguous,5,5,4,5,5,False,5,5,4,5,1,5,1,1,1,5
Fight Club,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,3,5,1,2,1,4
The Lord of the Rings: The Fellowship of the Ring,3,5,4,5,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,5,False,5,5,5,5,5,4,1,2,1,1
Forrest Gump,4,4,4,4,"['unpredictable', 'strong_pacing', 'tight_structure']","['predictable', 'cliche']",5,bittersweet,4,satisfying,5,5,4,4,5,False,5,5,5,1,5,2,1,1,1,3
"Il buono, il brutto, il cattivo",3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,3,1,3,1,1,3,3
The Lord of the Rings: The Two Towers,4,4,4,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,satisfying,5,5,4,5,5,False,5,5,5,5,5,4,1,2,3,5
The Matrix,5,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,5,5,False,5,5,4,4,5,4,2,4,1,5
Goodfellas,5,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,2,3,1,1,1,3
Star Wars: Episode V - The Empire Strikes Back,5,5,4,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,5,False,5,5,4,5,4,3,1,2,2,5
One Flew Over the Cuckoo's Nest,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,1,1,5
Hamilton,5,5,4,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,1,5,4,1,2,1,2
Gisaengchung,5,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,5,4,4,1,1,1,5
Soorarai Pottru,4,3,3,4,"['strong_pacing', 'tight_structure']",['predictable'],4,energized,4,earned,4,4,4,3,3,False,4,4,5,1,1,2,1,1,1,3
Interstellar,3,4,2,4,"['unpredictable', 'plot_twists']",['plot_holes'],3,energized,4,satisfying,5,5,4,5,5,True,5,5,4,1,4,4,3,1,1,4
Cidade de Deus,5,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,1,3,1,3,5,4
Sen to Chihiro no kamikakushi,3,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,5,False,5,5,5,1,4,3,1,1,1,3
Saving Private Ryan,4,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,5,False,5,4,5,1,3,2,1,3,3,4
The Green Mile,3,4,2,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,5,5,4,3,3,False,4,3,5,1,1,2,1,1,1,3
La vita è bella,3,5,3,4,['tight_structure'],['narrative_inconsistency'],4,bittersweet,5,earned,4,5,4,4,3,False,5,4,5,1,1,3,1,1,1,3
Se7en,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,disappointed,5,earned,5,5,5,5,4,False,4,5,5,1,2,4,1,1,3,5
The Silence of the Lambs,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,3,2,4,1,1,2,4
Star Wars,4,5,5,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,energized,5,satisfying,5,5,5,5,5,False,5,5,3,5,1,2,1,1,1,1
Seppuku,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,5,5,5,1,5,4,2,1,1,5
Shichinin no samurai,4,5,2,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,1,4,3,1,1,2,1
It's a Wonderful Life,3,4,4,4,"['tight_structure', 'unpredictable']","['predictable', 'cliche']",4,happy,5,satisfying,4,5,4,3,3,False,4,3,5,3,2,3,1,1,1,3
Joker,3,4,1,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,4,earned,5,5,4,5,4,False,5,4,5,3,4,4,1,2,1,3
Whiplash,5,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,earned,5,5,5,4,3,False,5,5,5,1,2,4,1,1,1,3
The Intouchables,4,4,3,4,"['strong_pacing', 'tight_structure']",['predictable'],5,happy,4,earned,4,5,4,3,3,False,5,4,5,1,1,3,1,1,1,3
The Prestige,4,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,4,False,4,4,5,1,3,5,1,1,4,5
The Departed,4,3,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,4,satisfying,4,5,4,3,3,False,4,5,5,1,2,4,1,2,2,3
The Pianist,3,4,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,5,4,3,False,5,5,5,1,1,3,1,1,1,3
Gladiator,4,4,1,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,bittersweet,4,earned,5,5,4,5,4,False,5,5,5,1,1,2,1,1,3,3
American History X,3,4,1,4,"['strong_pacing', 'tight_structure']",['predictable'],4,sad,4,earned,5,5,4,4,3,False,4,3,5,1,2,4,1,2,1,3
The Usual Suspects,4,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,energized,5,earned,5,5,5,4,3,False,5,4,5,1,1,4,1,1,1,5
Léon,3,4,1,4,"['strong_pacing', 'tight_structure', 'unpredictable']",[],5,bittersweet,5,earned,4,5,4,4,3,False,5,5,5,1,1,3,1,2,1,4
The Lion King,4,4,5,4,"['strong_pacing', 'tight_structure', 'plot_twists']",['predictable'],5,happy,5,earned,5,5,5,5,5,False,5,5,5,5,2,2,1,2,4,1
Terminator 2: Judgment Day,5,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,satisfying,5,5,5,5,5,False,5,4,5,5,3,2,1,4,1,5
Nuovo Cinema Paradiso,3,4,3,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,1,5,3,1,1,1,3
Hotaru no haka,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,4,False,4,4,5,5,1,3,1,1,1,3
Back to the Future,5,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,4,4,False,5,5,5,4,4,3,1,1,1,2
Once Upon a Time in the West,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,5,4,3,1,4,5
Psycho,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,sad,5,satisfying,5,5,5,5,4,False,5,3,5,3,3,4,2,1,1,5
Casablanca,4,5,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,5,2,3,1,1,1,3
Modern Times,4,5,5,4,"['strong_pacing', 'tight_structure', 'unpredictable']",[],3,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,1,3,1,1,1,1
City Lights,4,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,1,1,2,1,1,1,2
Capharnaüm,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,4,3,False,4,3,5,5,1,4,1,1,1,3
Ayla: The Daughter of War,3,4,3,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,4,4,3,3,False,4,4,4,1,1,2,1,1,1,3
Vikram Vedha,4,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,4,earned,4,4,4,3,3,False,5,4,5,3,4,4,1,1,1,3
Kimi no na wa.,4,5,4,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,5,5,5,5,5,False,5,5,5,1,1,3,1,1,1,4
Dangal,4,4,5,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,energized,5,earned,4,5,4,3,3,False,4,4,5,4,4,2,1,2,1,3
Spider-Man: Into the Spider-Verse,5,5,5,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,5,5,False,5,5,5,5,5,3,1,4,1,3
Avengers: Endgame,4,3,4,4,"['plot_twists', 'strong_pacing']","['plot_holes', 'narrative_inconsistency']",4,bittersweet,5,satisfying,5,5,4,4,5,False,5,3,5,5,5,4,1,4,1,5
Avengers: Infinity War,5,4,3,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,5,False,4,3,4,5,5,3,1,4,1,5
Coco,4,5,5,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,satisfying,5,5,5,5,5,False,5,5,5,5,5,3,1,1,1,4
Django Unchained,4,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing']",[],5,energized,5,earned,5,5,4,4,4,False,5,5,5,1,5,3,1,3,3,3
The Dark Knight Rises,3,3,2,3,"['plot_twists', 'tight_structure']","['plot_holes', 'narrative_inconsistency']",3,bittersweet,4,satisfying,4,4,3,4,4,True,4,3,4,5,4,4,2,3,1,4
3 Idiots,4,4,5,4,"['plot_twists', 'strong_pacing', 'tight_structure']",['predictable'],5,happy,5,earned,4,5,4,3,3,False,4,5,5,4,1,2,1,1,1,3
Taare Zameen Par,3,4,5,4,"['strong_pacing', 'tight_structure']",['predictable'],4,energized,5,earned,4,5,4,4,4,False,5,5,5,5,1,3,1,1,1,3
WALL·E,4,5,5,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,bittersweet,5,earned,5,5,5,5,5,False,5,5,5,1,3,3,1,1,1,5
The Lives of Others,4,5,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,1,2,4,1,1,1,4
